"Location Properties"
"Location Name = Pressure Transducer"
"Location ID = 5679063059922944"
"Latitude = 37.24039316383645 °"
"Longitude = -80.4825972028528 °"
"Time shown in UTC"
""
""
"Date Time","Depth (m)","Pressure (cm H₂O)","Temperature (C)"
"2020-04-30 14:15:00.000","9.787128000000001","990.6250358190639","11.26"
"2020-04-30 14:30:00.000","9.784080000000001","989.9219662407679","11.25"
"2020-04-30 14:45:00.000","9.784080000000001","989.9219662407679","11.23"
"2020-04-30 15:00:00.000","9.784080000000001","989.9219662407679","11.22"
"2020-04-30 15:15:00.000","9.787128000000001","989.9219662407679","11.22"
"2020-04-30 15:30:00.000","9.787128000000001","989.9219662407679","11.21"
"2020-04-30 15:45:00.000","9.787128000000001","989.9219662407679","11.2"
"2020-04-30 16:00:00.000","9.784080000000001","989.9219662407679","11.2"
"2020-04-30 16:15:00.000","9.787128000000001","989.9219662407679","11.18"
"2020-04-30 16:30:00.000","9.784080000000001","989.9219662407679","11.17"
"2020-04-30 16:45:00.000","9.784080000000001","989.9219662407679","11.15"
"2020-04-30 17:00:00.000","9.784080000000001","989.9219662407679","11.13"
"2020-04-30 17:15:00.000","9.787128000000001","989.9219662407679","11.12"
"2020-04-30 17:30:00.000","9.787128000000001","989.9219662407679","11.1"
"2020-04-30 17:45:00.000","9.787128000000001","989.9219662407679","11.08"
"2020-04-30 18:00:00.000","9.787128000000001","989.9219662407679","11.06"
"2020-04-30 18:15:00.000","9.787128000000001","989.9219662407679","11.04"
"2020-04-30 18:30:00.000","9.787128000000001","989.9219662407679","11.04"
"2020-04-30 18:45:00.000","9.784080000000001","989.9219662407679","11.03"
"2020-04-30 19:00:00.000","9.784080000000001","989.9219662407679","11.02"
"2020-04-30 19:15:00.000","9.784080000000001","989.2188966624719","11.01"
"2020-04-30 19:30:00.000","9.784080000000001","989.9219662407679","10.99"
"2020-04-30 19:45:00.000","9.787128000000001","989.9219662407679","10.98"
"2020-04-30 20:00:00.000","9.787128000000001","989.9219662407679","10.96"
"2020-04-30 20:15:00.000","9.790175999999999","989.9219662407679","10.93"
"2020-04-30 20:30:00.000","9.793224000000002","989.9219662407679","10.9"
"2020-04-30 20:45:00.000","9.790175999999999","989.9219662407679","10.86"
"2020-04-30 21:00:00.000","9.793224000000002","989.9219662407679","10.82"
"2020-04-30 21:15:00.000","9.796272","989.9219662407679","10.79"
"2020-04-30 21:30:00.000","9.796272","990.6250358190639","10.77"
"2020-04-30 21:45:00.000","9.79932","990.6250358190639","10.74"
